sid	audio_id	contrib	len	verb_hits	verbs	lemmas	text
1707741	78119	alexmarcelo	15	1	é	ser	Isso é verdade.
1775704	79235	alexmarcelo	15	1	sou	ser	Sou um artista.
1775718	79237	alexmarcelo	15	1	é	ser	Hoje é domingo.
1900408	87244	alexmarcelo	15	1	são	ser	Esses são meus.
1926490	87856	alexmarcelo	15	1	estou	estar	Eu estou velho.
1935000	88092	alexmarcelo	15	1	estou	estar	Eu estou certo?
2115234	103286	alexmarcelo	15	1	está	estar	Está tudo aqui.
2115285	103329	alexmarcelo	15	1	estou	estar	Estou com medo.
2139330	103750	alexmarcelo	15	1	quer	querer	Quer algo mais?
2453355	139084	alexmarcelo	15	1	quero	querer	Eu quero tempo.
2562058	151945	alexmarcelo	15	1	é	ser	É muito bonito.
2777917	470329	Ricardo14	15	1	fez	fazer	Quem fez esses?
2789334	166644	alexmarcelo	15	1	quero	querer	Quero uma maçã.
3386152	475950	Ricardo14	15	1	fizemos	fazer	Fizemos aquilo.
3781894	351423	Ricardo14	15	1	é	ser	É um bom plano.
393673	31840	bill	21	1	é	ser	Quem é seu professor?
4456422	471489	Ricardo14	15	1	quero	querer	Quero dinheiro.
4490161	967250	Ricardo14	15	1	é	ser	Isso é um anel?
4508502	967254	Ricardo14	15	1	é	ser	Essa é a chave.
4548439	1187672	MathKay	15	1	é	ser	Assim é a vida!
4717125	762205	Ricardo14	15	1	é	ser	De onde você é?
4810624	963427	Ricardo14	15	1	é	ser	É um bom livro.
4837510	475981	Ricardo14	21	1	fazemos	fazer	Nós não fazemos isso.
4866852	967282	Ricardo14	15	1	é	ser	Isso é um erro.
4866933	475982	Ricardo14	15	1	fiz	fazer	Eu já fiz isso.
5055367	967336	Ricardo14	21	1	é	ser	Essa é a minha ideia.
5055485	351529	Ricardo14	15	1	estarei	estar	Estarei pronto.
5919551	351558	Ricardo14	15	1	estou	estar	Estou em forma.
6774459	471676	Ricardo14	15	1	quero	querer	Eu quero muito.
6774490	471681	Ricardo14	15	1	querem	querer	Eles me querem.
6774491	471682	Ricardo14	15	1	querem	querer	Elas me querem.
6780620	471688	Ricardo14	15	1	querem	querer	Vocês o querem?
6780645	471689	Ricardo14	15	1	querem	querer	Vocês a querem?
6780701	471693	Ricardo14	21	1	quer	querer	Você não quer entrar?
6781103	967365	Ricardo14	15	1	são	ser	O que elas são?
6781174	471720	Ricardo14	15	1	quero	querer	Não quero você.
6781181	471723	Ricardo14	15	1	quero	querer	Não quero isso.
6781218	963487	Ricardo14	21	1	é	ser	Isso não é para você.
7272892	963522	Ricardo14	15	1	está	estar	Tudo está aqui.
8973279	762212	Ricardo14	15	1	é	ser	Da onde você é?
8976733	762253	Ricardo14	15	1	é	ser	O prazer é meu!
977301	50200	alexmarcelo	15	1	quero	querer	Eu não o quero.
994171	50442	alexmarcelo	15	1	é	ser	Qual é o plano?
5869420	471631	Ricardo14	22	2	é,queremos	querer,ser	Isso é o que queremos.
6781406	471743	Ricardo14	22	2	é,quero	querer,ser	Esse é o que eu quero.
6781468	471750	Ricardo14	14	2	é,quero	querer,ser	É o que quero.
6781956	484269	Ricardo14	22	2	é,queremos	querer,ser	É este o que queremos.
6781958	484271	Ricardo14	22	2	é,queremos	querer,ser	É esse o que queremos.
1053069	58107	alexmarcelo	14	1	é	ser	Isso é o amor?
1054289	762203	Ricardo14	14	1	está	estar	Você está bem?
1061336	58376	alexmarcelo	22	1	estão	estar	Onde estão os sapatos?
1063479	58632	alexmarcelo	14	1	é	ser	É caro demais!
1111763	63957	alexmarcelo	14	1	é	ser	Isso é demais!
1190046	67185	alexmarcelo	14	1	faz	fazer	O que ela faz?
1198199	67329	alexmarcelo	14	1	é	ser	Você é bonito.
1199954	67360	alexmarcelo	14	1	é	ser	Você é bonita.
1209904	67586	alexmarcelo	14	1	sou	ser	Eu sou contra.
1211746	67616	alexmarcelo	14	1	é	ser	Não é verdade?
1213997	67669	alexmarcelo	14	1	é	ser	É a minha vez?
1255890	68319	alexmarcelo	14	1	estou	estar	Estou em casa.
1551594	74795	alexmarcelo	14	1	sou	ser	Eu sou melhor.
1909830	87537	alexmarcelo	14	1	é	ser	Não é verdade.
2115300	103334	alexmarcelo	14	1	estou	estar	Estou furioso.
2166852	104073	alexmarcelo	14	1	está	estar	Não está aqui.
2363701	131740	alexmarcelo	14	1	fez	fazer	Você fez isso?
2363745	131742	alexmarcelo	14	1	é	ser	É muito fácil.
2363784	131745	alexmarcelo	14	1	é	ser	É um problema?
2474524	139577	alexmarcelo	14	1	fez	fazer	Você fez isso.
2587650	152268	alexmarcelo	14	1	é	ser	O livro é meu.
2778891	470330	Ricardo14	14	1	estou	estar	Eu estou aqui.
3033056	470336	Ricardo14	14	1	quero	querer	Não quero uma.
3337388	475949	Ricardo14	22	1	faz	fazer	Por que você faz isso?
3408282	470156	Ricardo14	14	1	fiz	fazer	Eu fiz aquilo.
4626659	351513	Ricardo14	14	1	está	estar	Aqui está ela!
4810253	471513	Ricardo14	22	1	é	ser	Francês não é difícil.
4819399	471527	Ricardo14	14	1	querem	querer	Não te querem.
4833492	967274	Ricardo14	22	1	está	estar	Onde está a minha mãe?
5109225	351533	Ricardo14	14	1	são	ser	Quem são elas?
5917197	471641	Ricardo14	14	1	quero	querer	Quero aqueles.
5917198	471642	Ricardo14	14	1	quero	querer	Quero aquelas.
6774368	471661	Ricardo14	14	1	quero	querer	Eu quero isso.
6774412	471667	Ricardo14	14	1	queremos	querer	Queremos isso.
6781194	476004	Ricardo14	22	1	faça	fazer	Não faça isso, beleza?
6781217	963486	Ricardo14	22	1	é	ser	Isso não é para vocês.
6781413	963488	Ricardo14	22	1	é	ser	Essa é uma das minhas.
868763	46156	alexmarcelo	14	1	faça	fazer	Não faça isso.
869458	46219	alexmarcelo	14	1	é	ser	É para quando?
877969	46418	alexmarcelo	14	1	é	ser	É só um sonho.
886736	46687	alexmarcelo	14	1	sou	ser	Eu sou médico.
972348	49865	alexmarcelo	22	1	é	ser	De quem é este quarto?
978513	50220	alexmarcelo	14	1	é	ser	Ela é tua mãe?
997977	50531	alexmarcelo	14	1	é	ser	Ele é francês.
4448633	484084	Ricardo14	23	2	é,quer	querer,ser	É isso o que você quer?
6781477	471752	Ricardo14	23	2	é,queria	querer,ser	É isso o que eu queria.
10515867	963612	Ricardo14	13	1	foi	ir,ser	Não foi nada!
10571570	978273	Ricardo14	13	1	faz	fazer	Hoje faz sol.
1063500	58651	alexmarcelo	13	1	é	ser	Você é feliz?
1132550	64992	alexmarcelo	13	1	estou	estar	Estou pronto.
1132553	64993	alexmarcelo	13	1	sou	ser	Eu sou livre.
1148180	65908	alexmarcelo	13	1	é	ser	É só um jogo.
1201153	67396	alexmarcelo	13	1	é	ser	Isto é fácil.
1202031	67433	alexmarcelo	13	1	sou	ser	Eu sou jovem.
1206537	67542	alexmarcelo	13	1	é	ser	Ele é médico.
12301863	1182483	MathKay	13	1	é	ser	Aquilo é meu.
1320779	69793	alexmarcelo	13	1	é	ser	Não é bonito?
1320780	69794	alexmarcelo	13	1	é	ser	Não é bonita?
1508686	73767	alexmarcelo	13	1	é	ser	Nada é fácil.
1551595	74796	alexmarcelo	13	1	estou	estar	Estou melhor.
1608936	75683	alexmarcelo	13	1	é	ser	É minha vida.
1637583	76053	alexmarcelo	13	1	faria	fazer	Você o faria?
1646439	76180	alexmarcelo	23	1	vai	ir	Meu pai não vai deixar.
1707699	78118	alexmarcelo	13	1	foi	ir,ser	Essa foi boa.
1792361	79611	alexmarcelo	13	1	está	estar	Ela está bem?
1836054	80663	alexmarcelo	13	1	foi	ir,ser	Não foi nada.
1926488	87854	alexmarcelo	13	1	sou	ser	Eu sou velho.
1926489	87855	alexmarcelo	13	1	sou	ser	Eu sou velha.
2105787	101973	alexmarcelo	13	1	estaremos	estar	Aí estaremos.
2105964	101975	alexmarcelo	13	1	está	estar	Está em casa.
2165289	104057	alexmarcelo	13	1	é	ser	Qual é o meu?
2922502	172277	alexmarcelo	13	1	era	ser	Eu era feliz.
3386147	470400	Ricardo14	13	1	estive	estar	Eu estive lá.
3408281	470155	Ricardo14	13	1	sou	ser	Não sou alto.
3802139	471480	Ricardo14	13	1	quero	querer	Quero entrar.
381993	31254	bill	13	1	é	ser	É muito caro.
