sid	audio_id	contrib	len	n_pivots	pivots	text
1849043	81655	alexmarcelo	22	0		Alguém comeu com você?
3409808	484066	Ricardo14	22	0		Talvez você queira ir.
4761267	269771	bill	22	0		Deixe a porta fechada.
5137241	280406	bill	22	0		Obrigado por assistir.
5617001	471628	Ricardo14	22	0		Falo francês e inglês.
8863937	738325	Ricardo14	22	0		Eu odeio acordar cedo.
10511719	978251	Ricardo14	22	0		Só precisamos de água.
12301909	1182484	MathKay	22	0		Espere trinta minutos.
880570	46459	alexmarcelo	23	0		Há um restaurante aqui.
886246	46622	alexmarcelo	23	0		O pai perdeu o emprego.
972707	50057	alexmarcelo	21	0		Acabo de chegar aqui.
3204470	471469	Ricardo14	23	0		Eu quero um pouco mais.
3249681	470358	Ricardo14	21	0		Obrigado pela comida.
3249682	470359	Ricardo14	23	0		Obrigado pela refeição.
3255073	470360	Ricardo14	23	0		Obrigado, volte sempre!
3263107	471470	Ricardo14	23	0		Eu queria ter dito sim.
3389195	470416	Ricardo14	21	0		Você entendeu errado.
4985785	967313	Ricardo14	23	0		Elas precisam de ajuda.
4985786	967314	Ricardo14	23	0		Eles precisam de ajuda.
4992110	967317	Ricardo14	21	0		Nós iremos te ajudar.
5037154	967327	Ricardo14	23	0		Nós vamos te encontrar.
5885151	471634	Ricardo14	21	0		Eu queria mais tempo.
5885193	471635	Ricardo14	23	0		Eu só quero um emprego.
5924634	471643	Ricardo14	21	0		Acho francês difícil.
6672385	419697	Voz	23	0		Ele conta uma história.
6780870	484206	Ricardo14	21	0		Quero que você vá lá.
6781348	471739	Ricardo14	23	0		Eu faço o que eu quero.
6803984	471762	Ricardo14	23	0		Eu falo francês também.
7262003	769904	Ricardo14	23	0		Eu já te ligo de volta.
8964227	763840	Ricardo14	21	0		Preciso de mais café.
10560955	963664	Ricardo14	23	0		Pode me chamar de Urso.
972591	49987	alexmarcelo	24	0		Ele estará te esperando.
1110839	63885	alexmarcelo	20	0		Eu quero muito mais.
1146034	762204	Ricardo14	20	0		Você fala português?
3219316	470349	Ricardo14	20	0		Ele chegou primeiro.
3389197	470417	Ricardo14	24	0		Vocês entenderam errado.
4096264	471483	Ricardo14	20	0		Queria ter dito sim.
4671457	471499	Ricardo14	20	0		Nós falamos francês.
4834826	963444	Ricardo14	24	0		Todo o mundo sabe disso.
4974535	967303	Ricardo14	20	0		Nós iremos te ligar.
5190421	471601	Ricardo14	24	0		Quero alguma coisa nova.
5266365	1186130	MathKay	20	0		Cheguei ao trabalho.
5616993	473593	Ricardo14	24	0		Só sei francês e inglês.
5885194	471636	Ricardo14	20	0		Só quero um emprego.
6781014	484213	Ricardo14	20	0		O teu pai quer você.
6781347	471738	Ricardo14	20	0		Eu faço o que quero.
6803986	471763	Ricardo14	20	0		Falo francês também.
8973353	762225	Ricardo14	24	0		Ela fala francês também.
9011655	1187693	MathKay	20	0		Eu moro neste andar.
514754	973350	Ricardo14	19	0		Devagar, por favor.
2606915	471453	Ricardo14	25	0		Falo um pouco de Francês.
2780260	484054	Ricardo14	25	0		Quero me sentir especial.
3188840	470346	Ricardo14	19	0		Odeio acordar cedo.
3245660	470355	Ricardo14	19	0		Prazer te conhecer.
3447927	963391	Ricardo14	19	0		Volte para o carro.
3761826	471477	Ricardo14	19	0		Eu só falo francês.
4490165	484089	Ricardo14	25	0		O que eu queria era água.
4760296	269759	bill	19	0		Parece uma laranja.
4899560	272448	bill	25	0		Eu trabalho neste prédio.
4974536	967304	Ricardo14	19	0		Nós vamos te ligar.
5046445	276904	bill	25	0		Eles chegaram muito cedo.
5122251	279424	alexmarcelo	19	0		Você quer me pagar?
5127126	279780	bill	25	0		Nós queremos mais comida.
5149923	280716	bill	19	0		Tenha um ótimo dia.
5190414	471598	Ricardo14	19	0		Eu quero algo novo.
5190480	769801	Ricardo14	19	0		Você já comeu bolo?
5617000	471627	Ricardo14	25	0		Eu falo francês e inglês.
6781303	471731	Ricardo14	25	0		Eu quero o que você quer.
8189332	1187689	MathKay	19	0		Será um dia de sol.
8997460	767411	Ricardo14	19	0		Alguém esteve aqui.
8999693	767424	Ricardo14	19	0		Licença, por favor.
10536050	963629	Ricardo14	25	0		Você fica bonita de rosa.
11163927	1186217	MathKay	19	0		Trabalhamos amanhã.
12291144	1182708	MathKay	25	0		Fiz algo muito ruim hoje.
182184	973348	Ricardo14	18	0		Preciso ir dormir.
384779	31320	bill	18	0		Feche bem a porta.
2709085	963369	Ricardo14	18	0		Eu já sabia disso.
2766548	470323	Ricardo14	18	0		Podemos te ajudar?
3408161	470425	Ricardo14	18	0		Você parece forte.
4456423	471490	Ricardo14	18	0		Eu quero dinheiro.
4631081	263586	bill	18	0		Come mais devagar.
4972464	978214	Ricardo14	18	0		Eu fiquei furioso.
4973393	963451	Ricardo14	18	0		Será hoje à noite.
4974589	967305	Ricardo14	18	0		O tempo irá dizer.
4985492	967312	Ricardo14	26	0		Nós precisávamos de ajuda.
5146185	280571	bill	18	0		Posso ir pra casa?
5189555	967341	Ricardo14	18	0		Nós o encontramos.
5885149	471633	Ricardo14	18	0		Queria mais tempo.
7067128	1186142	MathKay	18	0		Talvez mais tarde.
7345542	769917	Ricardo14	26	0		Compramos a casa do homem.
8205426	963565	Ricardo14	18	0		Você quer cerveja?
8863934	738324	Ricardo14	26	0		Quanto mais tarde, melhor.
8873543	738369	Ricardo14	18	0		Eu já volto, amor.
10560934	963651	Ricardo14	18	0		Ela trabalha aqui?
1120401	64479	alexmarcelo	17	0		Espere um minuto.
1158005	66020	alexmarcelo	17	0		Tenha um bom dia.
1205241	67524	alexmarcelo	17	0		Ele parece forte.
1236346	68037	alexmarcelo	17	0		Eu era professor.
1236367	68038	alexmarcelo	17	0		Eu queria dormir.
2133808	103656	alexmarcelo	17	0		Gosto deste jogo.
2652951	1186120	MathKay	17	0		Obrigado a todos.
3435015	470177	Ricardo14	17	0		Você sabe demais.
4489360	963415	Ricardo14	17	0		Eu preciso ir lá?
4491182	471491	Ricardo14	17	0		Quero eles todos.
4491183	471492	Ricardo14	17	0		Quero todos eles.
4974625	967309	Ricardo14	17	0		Nós estaremos lá.
4992111	967318	Ricardo14	17	0		Iremos te ajudar.
5085992	967338	Ricardo14	17	0		Eles sabem disso.
5085993	967339	Ricardo14	17	0		Elas sabem disso.
5122455	279521	alexmarcelo	27	0		Espero que você esteja bem.
5190417	471599	Ricardo14	27	0		Eu quero alguma coisa nova.
5616992	473592	Ricardo14	27	0		Eu só sei francês e inglês.
5699225	963462	Ricardo14	17	0		Alguém mora aqui?
6781260	471725	Ricardo14	17	0		Faço o que quero.
8864313	738353	Ricardo14	27	0		Você quer mais uma cerveja?
8986803	763875	Ricardo14	27	0		Eu falo um pouco de alemão.
10832080	1186178	MathKay	17	0		Queremos o mesmo.
